kesalahan penulisan(typo)/penyingkatan kata,baku
abis,habis
aja,saja
ama,sama
ane,saya
ap,apa
aq,saya
ato,atau
bakal,akan
banget,sangat
bangt,banget
barengan,bersamaan
baruq,baru saya
barusan,baru saja
bbm,bahan bakar minyak
bbrp,beberapa
bentar,sebentar
berenti,berhenti
beres,selesai
bget,sangat
bgmn,bagaimana
bgt,begitu
bhs,bahasa
bikin,membuat
blm,belum
bnget,sangat
bntar,sebentar
bobo,tidur
bobok,tidur
bpk,bapak
br,baru
brgkt,berangkat
brng,barang
brp,berapa
bsk,besok
bsok,besok
bts,batas
btw,ngomong-ngomong
bu,ibu
buk,ibu
bulet,bundar
cuman,hanya
dah,sudah
dapet,dapat
dblkg,dibelakang
dbls,dibalas
De,adik
deh,saja
deket,dekat
dg,dengan
dgn,dengan
dianter,diantar
dianterin,diantarkan
diapain,diapakan
dibarengin,dibarengi
diiket,diikat
dijadiin,dijadikan
dkt,dekat
dlm,dalam
dmn,dimana
dmna,dimana
doain,doakan
doang,saja
dp,uang muka
dpn,depan
dpt,dapat
dptkan,dapatkan
dr,dari
dri,dari
drpd,daripada
dsb,dan sebagainya
dsni,disini
dtggu,ditunggu
dtgu,ditunggu
dy,dia
elo,kamu
emang,memang
emg,memang
enggak,tidak
ga,tidak
gais,kawan
gak,tidak
gantiin,menggantikan
gatau,tidak tahu
gimana,bagaimana
gini,begini
gitu,begitu
gituch,begitu
gk,tidak
gmn,bagaimana
gnti,ganti
gpp,tidak apa-apa
gt,begitu
gtau,tidak tahu
gue,saya
gw,saya
hayu,ayo
hbngi,hubungi
hdr,hadir
hr,hari
hrap,harap
hrg,harga
hrga,harga
hrus,harus
hub,menghubungi
ijo,hijau
ingetin,ingatkan
inih,ini
isiin,isikan
japri,jalur pribadi
Jatoh,jatuh
jd,jadi
jg,juga
jgn,jangan
kalo,kalau
kaprodi,ketua program studi
kasi,memberikan
kbtulan,kebetulan
kdg,terkadang
kejebak,terjebak
kek,seperti
Keknya,sepertinya
keliatan,terlihat
Kembaliin,kembalikan
kesalahan penulisan(typo)/penyingkatan kata,baku
ketemu,bertemu
ketemuan,bertemu
kikuk,kaku
kl,kalau
klau,kalau
klo,kalau
km,kamu
kmbli,kembali
kmn,kemana
kmpul,kumpul
kmr,kamar
Kmren,kemarin
kmu,kamu
kntor,kantor
ko,kenapa
Kok,kenapa
kosan,kos
kpd,kepada
kpn,kapan
krn,karena
ku,aku
kyknya,kayaknya
Lagian,lagi pula
lbh,lebih
lebay,berlebihan
lg,lagi
liat,lihat
lo,kamu
lu,kamu
ma,ibu
maafin,maafkan
mah,ibu
makasi,terima kasih
makasih,terima kasih
mama,ibu
masalh,masalah
masing2,masing-masing
masukin,masukkan
matiin,matikan
mdpt,mendapatkan
Mdptkan,mendapatkan
melulu,terus-menerus
mendpt,mendapatkan
mendpt,mendapatkan
menghub,menghubungi
merhatiin,memperhatikan
mewek,menangis
mgkin,mungkin
mikirin,memikirkan
min,minimal
mjd ,menjadi
mk,mata kuliah
mlm,malam
mndpt,mendapatkan
mndptkan,mendapatkan
mo,mau
moga,semoga
mraih,meraih
msh,masih
mw,mau
nanggung,tanggung
nemu,bertemu
ngajakin,mengajak
ngapain,sedang apa
ngaret,lama
ngasih,memberikan
ngasihinnya,memberikannya
ngebayangin,membayangkan
ngedeteksi,mendeteksi
ngerangkul,merangkul
ngerjain,mengerjakan
nggak,tidak
nginget,ingat
ngsih,memberikan
ngumpul,kumpul
nih,ini
nmor,nomor
nmr,nomor
nnti,nanti
no,nomor
norek,nomor rekening
ntar,nanti
nti ,nanti
ntr,nanti
nunggu,menunggu
nyari,mencari
nyesel,menyesal
nyesuain,menyesuaikan
org,orang
ortu,orang tua
pa,ayah
pager,pagar
pah,ayah
pak,bapak
pake,pakai
papa,ayah
pas,saat
pd,pada
pengen,ingin
perpus,perpustakaan
pgn,ingin
plg,paling
pliss,tolong
pls,tolong
prodi,program studi
Prog,program
rb,ribu
rebu,ribu
rekning,rekening
remedi,remedial
sama2,sama-sama
sambl,sambil
sampe,sampai
sbg,sebagai
sblm,sebelum
sblum,sebelum
sbnr,sebenarnya
sdg,sedang
sdh,sudah
sebrang,seberang
seengganya,setidaknya
segimana,seberapa
silakan,silahkan
skr,sekarang
skrg,sekarang
Skrng,sekarang
slmt,selamat
sm,sama
smg,semoga
smua,semua
spt,seperti
stlh ,setelah
sy,saya
tak,tidak
taro,meletakkan
tau,tahu
tbs,tembus
tbungn,tabungan
td,tadi
tdi,tadi
tdk,tidak
tdr,tidur
terdftr,terdaftar
tf,transfer
thx,terima kasih
tlh,telah
tlong,tolong
tlpn,telepon
tlpon,telepon
tman,teman
tmbhn,tambahan
tmn,teman
tmn2 ,teman-teman
toh,itu
tp,tapi
tpi,tapi
tq,terima kasih
transfer,kirim
trfr,transfer
trimksi,terima kasih
trms,terima kasih
trs,terus
tsb,tersebut
ttd,tanda tangan
ttg,tentang
tuh,itu
tuk,untuk
u,kamu
udah,sudah
udh,sudah
usah,perlu
utk,untuk
vchr,voucher
warkop,warung kopi
wktnya,waktunya
Wooh,wah
yacc,iya
yah,iya
yah,ya
yank,sayang
yauda,ya sudah
yaudah,ya sudah
yaudh,ya sudah
yg,yang
yth,yang terhormat
yu,ayo
yuk,ayo
